   displacement,          force
     -0.0152960,   -822.0845754
     -0.0305920,  -1644.1691509
     -0.0458880,  -2466.2537263
     -0.0611840,  -3288.3338248
     -0.0764800,  -4110.0244954
     -0.0917760,  -4930.5693888
     -0.1070720,  -5748.9068352
     -0.1223680,  -6562.7969514
     -0.1376640,  -7364.6617784
     -0.1529600,  -8135.9103115
     -0.1682560,  -8859.4498906
     -0.1835520,  -9515.1708281
     -0.1988480, -10089.8552127
     -0.2141440, -10590.9513675
     -0.2294400, -11029.8190861
     -0.2447360, -11415.4943760
     -0.2600320, -11756.2064742
     -0.2753280, -12053.0522828
     -0.2906240, -12305.8074411
     -0.3059200, -12524.9946790
     -0.3212160, -12707.4338573
     -0.3365120, -12853.8458753
     -0.3518080, -12962.8536543
     -0.3671040, -13032.4119933
     -0.3824000, -13061.7492162
     -0.3976960, -13045.6028214
     -0.4129920, -12984.3527222
     -0.4282880, -12879.6812702
     -0.4435840, -12728.4660621
