   displacement,          force
     -0.0101975,   -295.5775224
     -0.0203950,   -591.1550448
     -0.0305925,   -886.7325671
     -0.0407900,  -1182.2650342
     -0.0509875,  -1477.9444806
     -0.0611850,  -1773.0931644
     -0.0713825,  -2066.1225400
     -0.0815800,  -2353.7965721
     -0.0917775,  -2629.5173975
     -0.1019750,  -2884.0117377
     -0.1121725,  -3110.1116737
     -0.1223700,  -3307.2641846
     -0.1325675,  -3480.2174892
     -0.1427650,  -3631.0935628
     -0.1529625,  -3763.9824032
     -0.1631600,  -3881.0277447
     -0.1733575,  -3979.6633392
     -0.1835550,  -4062.9576995
     -0.1937525,  -4130.9883966
     -0.2039500,  -4184.1487585
     -0.2141475,  -4222.7975647
     -0.2243450,  -4247.4915400
     -0.2345425,  -4258.2062651
     -0.2447400,  -4256.9632137
     -0.2549375,  -4242.9247309
     -0.2651350,  -4219.7435510
     -0.2753325,  -4185.9250298
     -0.2855300,  -4147.1299648
