   displacement,          force
     -0.0101975,   -296.2996645
     -0.0203950,   -592.5993289
     -0.0305925,   -888.8989934
     -0.0407900,  -1185.1986579
     -0.0509875,  -1481.6798759
     -0.0611850,  -1777.7026479
     -0.0713825,  -2073.1483559
     -0.0815800,  -2365.3874459
     -0.0917775,  -2651.8469881
     -0.1019750,  -2921.2207159
     -0.1121725,  -3164.5356769
     -0.1223700,  -3381.3185924
     -0.1325675,  -3570.1661448
     -0.1427650,  -3735.9549895
     -0.1529625,  -3888.0518200
     -0.1631600,  -4014.0704844
     -0.1733575,  -4121.5999630
     -0.1835550,  -4220.1963948
     -0.1937525,  -4297.4381836
     -0.2039500,  -4360.3916675
     -0.2141475,  -4408.4175600
     -0.2243450,  -4442.2801780
     -0.2345425,  -4462.5561448
     -0.2447400,  -4469.9605927
     -0.2549375,  -4465.9377601
     -0.2651350,  -4452.3616395
     -0.2753325,  -4425.4016756
     -0.2855300,  -4392.9032243
     -0.2957275,  -4353.0970504
