   displacement,          force
     -0.0101975,   -406.6583878
     -0.0203950,   -813.3167756
     -0.0305925,  -1219.9751634
     -0.0407900,  -1626.6418852
     -0.0509875,  -2033.3231756
     -0.0611850,  -2438.8506727
     -0.0713825,  -2843.1914620
     -0.0815800,  -3243.1894538
     -0.0917775,  -3634.0389416
     -0.1019750,  -4003.8405148
     -0.1121725,  -4342.3936774
     -0.1223700,  -4642.9947404
     -0.1325675,  -4905.2466496
     -0.1427650,  -5136.6159276
     -0.1529625,  -5344.5368601
     -0.1631600,  -5526.1916417
     -0.1733575,  -5682.9966019
     -0.1835550,  -5818.2226824
     -0.1937525,  -5932.6394740
     -0.2039500,  -6027.3358055
     -0.2141475,  -6102.6326681
     -0.2243450,  -6159.5362928
     -0.2345425,  -6199.3440679
     -0.2447400,  -6224.0731427
     -0.2549375,  -6236.3531833
     -0.2651350,  -6237.8697846
     -0.2753325,  -6229.5989276
     -0.2855300,  -6212.2474785
     -0.2957275,  -6187.1358228
     -0.3059250,  -6154.9433773
     -0.3161225,  -6116.4883353
     -0.3263200,  -6072.2971759
