Group,Sample,M2M_ratio_Mean,M2M_ratio_SD
Group1,1,1.7506140497058498,0.09387403640683904
Group1,2,1.629284204970568,0.10946981515836221
Group1,3,1.681702272586465,0.10999906201296925
Group1,4,1.8113066240800417,0.363229131291381
