Group,Sample,M2M_ratio_v2/a3
Group1,1,1.7246801993536505
Group1,1,1.8547287190435295
Group1,1,1.6724332307203695
Group1,2,1.6687979274120992
Group1,2,1.505543500125342
Group1,2,1.7135111873742628
Group1,3,1.5909253352260557
Group1,3,1.8040287317286727
Group1,3,1.650152750804666
Group1,4,1.5928321864004797
Group1,4,1.61048402307994
Group1,4,2.2306036627597057
