   displacement,          force
     -0.0101975,   -624.3145765
     -0.0203950,  -1248.6291530
     -0.0305925,  -1872.9437295
     -0.0407900,  -2497.2583060
     -0.0509875,  -3121.7694338
     -0.0611850,  -3745.8800467
     -0.0713825,  -4370.1286629
     -0.0815800,  -4993.8039657
     -0.0917775,  -5611.8970626
     -0.1019750,  -6220.7856608
     -0.1121725,  -6806.8878200
     -0.1223700,  -7345.8013187
     -0.1325675,  -7829.1160088
     -0.1427650,  -8244.4524715
     -0.1529625,  -8612.3860340
     -0.1631600,  -8934.2620666
     -0.1733575,  -9218.9787564
     -0.1835550,  -9470.2514808
     -0.1937525,  -9691.6817889
     -0.2039500,  -9886.3969645
     -0.2141475, -10056.9425696
     -0.2243450, -10204.3345374
     -0.2345425, -10329.1367337
     -0.2447400, -10431.9345998
     -0.2549375, -10514.4381399
     -0.2651350, -10576.4412484
     -0.2753325, -10617.8148470
     -0.2855300, -10639.8361507
     -0.2957275, -10643.2288830
     -0.3059250, -10629.3114179
     -0.3161225, -10599.1130641
     -0.3263200, -10553.2705541
     -0.3365175, -10491.8260162
     -0.3467150, -10416.0545075
