   displacement,          force
     -0.0152960,  -1168.8452112
     -0.0305920,  -2337.6904225
     -0.0458880,  -3506.5356337
     -0.0611840,  -4675.1699753
     -0.0764800,  -5843.5818513
     -0.0917760,  -7011.4563016
     -0.1070720,  -8177.8551469
     -0.1223680,  -9337.0305479
     -0.1376640, -10481.0007530
     -0.1529600, -11597.0660571
     -0.1682560, -12676.6555623
     -0.1835520, -13684.0325538
     -0.1988480, -14585.1225403
     -0.2141440, -15375.3022401
     -0.2294400, -16060.9089554
     -0.2447360, -16657.0127971
     -0.2600320, -17177.0861554
     -0.2753280, -17635.2053945
     -0.2906240, -18040.7695233
     -0.3059200, -18398.7799062
     -0.3212160, -18714.8154908
     -0.3365120, -18991.9014638
     -0.3518080, -19231.1206419
     -0.3671040, -19433.8245528
     -0.3824000, -19607.4778898
     -0.3976960, -19740.0157873
     -0.4129920, -19828.0969370
     -0.4282880, -19871.1394830
     -0.4435840, -19856.6689216
     -0.4588800, -19790.3879684
     -0.4741760, -19674.5143438
     -0.4894720, -19499.5420689
     -0.5047680, -19261.1837784
