X_Gruppe 1 -1 - time [sec]	Y_Gruppe 1 - 1 - Fn [mN]	X_Gruppe 1 -1 - time [sec]	Y_Gruppe 1 - 1 - Pd [nm]	X_Gruppe 1 -2 - time [sec]	Y_Gruppe 1 - 2 - Fn [mN]	X_Gruppe 1 -2 - time [sec]	Y_Gruppe 1 - 2 - Pd [nm]	X_Gruppe 1 -3 - time [sec]	Y_Gruppe 1 - 3 - Fn [mN]	X_Gruppe 1 -3 - time [sec]	Y_Gruppe 1 - 3 - Pd [nm]	X_Gruppe 1 -4 - time [sec]	Y_Gruppe 1 - 4 - Fn [mN]	X_Gruppe 1 -4 - time [sec]	Y_Gruppe 1 - 4 - Pd [nm]	X_Gruppe 1 -5 - time [sec]	Y_Gruppe 1 - 5 - Fn [mN]	X_Gruppe 1 -5 - time [sec]	Y_Gruppe 1 - 5 - Pd [nm]	X_Gruppe 1 -6 - time [sec]	Y_Gruppe 1 - 6 - Fn [mN]	X_Gruppe 1 -6 - time [sec]	Y_Gruppe 1 - 6 - Pd [nm]	X_Gruppe 1 -7 - time [sec]	Y_Gruppe 1 - 7 - Fn [mN]	X_Gruppe 1 -7 - time [sec]	Y_Gruppe 1 - 7 - Pd [nm]	X_Gruppe 1 -8 - time [sec]	Y_Gruppe 1 - 8 - Fn [mN]	X_Gruppe 1 -8 - time [sec]	Y_Gruppe 1 - 8 - Pd [nm]	X_Gruppe 1 -9 - time [sec]	Y_Gruppe 1 - 9 - Fn [mN]	X_Gruppe 1 -9 - time [sec]	Y_Gruppe 1 - 9 - Pd [nm]	X_Gruppe 1 -10 - time [sec]	Y_Gruppe 1 - 10 - Fn [mN]	X_Gruppe 1 -10 - time [sec]	Y_Gruppe 1 - 10 - Pd [nm]	X_Gruppe 1 -11 - time [sec]	Y_Gruppe 1 - 11 - Fn [mN]	X_Gruppe 1 -11 - time [sec]	Y_Gruppe 1 - 11 - Pd [nm]	X_Gruppe 1 -12 - time [sec]	Y_Gruppe 1 - 12 - Fn [mN]	X_Gruppe 1 -12 - time [sec]	Y_Gruppe 1 - 12 - Pd [nm]	X_Gruppe 1 -13 - time [sec]	Y_Gruppe 1 - 13 - Fn [mN]	X_Gruppe 1 -13 - time [sec]	Y_Gruppe 1 - 13 - Pd [nm]	X_Gruppe 1 -14 - time [sec]	Y_Gruppe 1 - 14 - Fn [mN]	X_Gruppe 1 -14 - time [sec]	Y_Gruppe 1 - 14 - Pd [nm]	X_Gruppe 1 -15 - time [sec]	Y_Gruppe 1 - 15 - Fn [mN]	X_Gruppe 1 -15 - time [sec]	Y_Gruppe 1 - 15 - Pd [nm]	X_Gruppe 1 -16 - time [sec]	Y_Gruppe 1 - 16 - Fn [mN]	X_Gruppe 1 -16 - time [sec]	Y_Gruppe 1 - 16 - Pd [nm]	X_Gruppe 1 -17 - time [sec]	Y_Gruppe 1 - 17 - Fn [mN]	X_Gruppe 1 -17 - time [sec]	Y_Gruppe 1 - 17 - Pd [nm]	X_Gruppe 1 -18 - time [sec]	Y_Gruppe 1 - 18 - Fn [mN]	X_Gruppe 1 -18 - time [sec]	Y_Gruppe 1 - 18 - Pd [nm]	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.100000000000001	0.26213340633128	0.100000000000001	252.563004323747	0.0999999999999943	0.149305557674139	0.0999999999999943	41.7275350628185	0.100000000000001	0.14210128255438	0.100000000000001	55.5446649741497	0.0999999999999943	0.144778806970716	0.0999999999999943	36.2092441719141	0.100000000000009	0.152576495182564	0.100000000000009	35.3500990968312	0.0999999999999943	0.14840563812559	0.0999999999999943	34.2950443155131	0.100000000000001	0.146495889213226	0.100000000000001	32.6885765389308	0.100000000000001	0.148346363391556	0.100000000000001	35.5587008016301	0.100000000000001	0.147447811466839	0.100000000000001	37.2121849068207	0.0999999999999943	0.174468121637475	0.0999999999999943	31.6534215016874	0.0999999999999943	0.141472946733583	0.0999999999999943	44.6683588961604	0.100000000000009	0.140180892074257	0.100000000000009	47.7738831250462	0.100000000000009	0.150100028055181	0.100000000000009	29.0321531792869	0.0999999999999943	0.145866155683721	0.0999999999999943	64.1118640487546	0.100000000000009	0.148388488232261	0.100000000000009	35.7903309122774	0.100000000000009	0.143548638545543	0.100000000000009	50.4142235513426	0.0999999999999943	0.145754306387289	0.0999999999999943	34.9627498508196	0.0999999999999943	0.147163524548509	0.0999999999999943	61.1845280218405	
0.199999999999996	0.543200708858799	0.199999999999996	291.75565487094	0.199999999999996	0.325079511668087	0.199999999999996	72.8304985386785	0.200000000000003	0.318370999385627	0.200000000000003	100.944348560006	0.199999999999989	0.316201109621609	0.199999999999989	70.6650280335453	0.200000000000003	0.323368701760379	0.200000000000003	64.1436781734226	0.199999999999989	0.319414995306359	0.199999999999989	62.7590543444967	0.200000000000003	0.316904960878098	0.200000000000003	63.4865273241305	0.200000000000003	0.321452020598713	0.200000000000003	63.7044513496222	0.199999999999996	0.319656714601632	0.199999999999996	69.1881223247037	0.199999999999989	0.346957701041048	0.199999999999989	56.9235544389811	0.200000000000003	0.319790761966581	0.200000000000003	80.4622823125099	0.200000000000003	0.317762051595662	0.200000000000003	86.3161494635277	0.200000000000003	0.318205931498395	0.200000000000003	56.4876108910536	0.200000000000003	0.331721793017197	0.200000000000003	101.046020972717	0.200000000000003	0.317623667108175	0.200000000000003	67.9831555316923	0.200000000000003	0.323065974175764	0.200000000000003	88.1470714375605	0.199999999999989	0.318131004808715	0.199999999999989	64.1822589386721	0.200000000000003	0.331906382346899	0.200000000000003	102.088120002008	
0.299999999999997	0.719087664731742	0.299999999999997	310.888253807207	0.299999999999997	0.497799248296159	0.299999999999997	98.0809409156789	0.299999999999997	0.493668946844187	0.299999999999997	137.931706376549	0.299999999999997	0.488923691840151	0.299999999999997	98.6641907729789	0.300000000000011	0.494187756758849	0.300000000000011	89.9706128620891	0.299999999999997	0.49040378630752	0.299999999999997	88.7923033587867	0.299999999999997	0.488965592993347	0.299999999999997	89.4163167686204	0.299999999999997	0.492499072881038	0.299999999999997	87.562552835152	0.300000000000004	0.491834298924483	0.300000000000004	96.4614491749674	0.299999999999997	0.517347849241898	0.299999999999997	80.2267095423305	0.299999999999997	0.496871966055445	0.299999999999997	103.774259514466	0.300000000000011	0.494108930252831	0.300000000000011	113.585711005726	0.300000000000011	0.489617591926195	0.300000000000011	81.3595033832823	0.299999999999997	0.506722937629987	0.299999999999997	128.18825780414	0.300000000000011	0.491431491225963	0.300000000000011	94.5303236221661	0.300000000000011	0.497789841592305	0.300000000000011	115.721954898617	0.299999999999997	0.489966576398323	0.299999999999997	89.2408161234925	0.299999999999997	0.509116630229167	0.299999999999997	128.572360154067	
0.399999999999999	0.886256636244362	0.399999999999999	328.184846694057	0.399999999999999	0.668664927737315	0.399999999999999	119.370738502766	0.399999999999999	0.662699969383207	0.399999999999999	171.555311681004	0.399999999999991	0.662349613990044	0.399999999999991	121.658531497814	0.400000000000006	0.664569383285902	0.400000000000006	113.836508717213	0.399999999999991	0.661047811062205	0.399999999999991	111.97225376236	0.399999999999999	0.661005192244547	0.399999999999999	110.860605673224	0.399999999999999	0.663001155207348	0.399999999999999	109.556663119292	0.399999999999999	0.662931987830555	0.399999999999999	120.08050816803	0.399999999999991	0.686834219952591	0.399999999999991	102.024337138573	0.399999999999991	0.668888594964339	0.399999999999991	120.934992082766	0.400000000000006	0.666947498795659	0.400000000000006	135.788554871396	0.400000000000006	0.659312028600229	0.400000000000006	103.337706605089	0.400000000000006	0.678655895141453	0.400000000000006	150.105520333454	0.400000000000006	0.662759798943258	0.400000000000006	116.936880658613	0.400000000000006	0.668570481028489	0.400000000000006	139.506987579807	0.399999999999991	0.659285992559234	0.399999999999991	112.787752186705	0.400000000000006	0.681769883635332	0.400000000000006	149.046145452303	
0.5	1.05221550810439	0.5	345.180678777979	0.5	0.838859924435004	0.5	137.867409648606	0.5	0.831780857258134	0.5	206.004851861508	0.5	0.831296794510439	0.5	141.338437060767	0.5	0.833735678092322	0.5	135.234522531391	0.5	0.832409895009597	0.5	131.369038172125	0.5	0.830328811725916	0.5	130.218454614806	0.5	0.83108494343786	0.5	130.253201859887	0.500000000000007	0.832929755448272	0.500000000000007	140.634224408132	0.5	0.85539866984633	0.5	121.253128781973	0.5	0.837458828661951	0.5	136.341827783326	0.5	0.836710800585319	0.5	154.551867126429	0.5	0.828812764669721	0.5	124.292705550033	0.5	0.847856359297935	0.5	170.01720607368	0.5	0.832226648406384	0.5	137.466554406274	0.5	0.838729988808522	0.5	161.172438311041	0.5	0.829257903607956	0.5	134.358947434521	0.5	0.850506003335657	0.5	166.784607245063	
0.600000000000001	1.21812405275075	0.600000000000001	362.209411832737	0.599999999999994	1.00716308233764	0.599999999999994	155.030365931452	0.600000000000001	0.999102399044249	0.600000000000001	241.151747104595	0.599999999999994	1.00130896517641	0.599999999999994	159.102642101061	0.600000000000009	1.00369864189651	0.600000000000009	154.46529687324	0.599999999999994	1.00141555327088	0.599999999999994	148.061280924594	0.600000000000001	0.999716601511546	0.600000000000001	148.039562191116	0.600000000000001	1.00040103506842	0.600000000000001	150.055202539079	0.600000000000001	1.0024262752461	0.600000000000001	159.285268637177	0.599999999999994	1.02599533648719	0.599999999999994	138.879868245567	0.599999999999994	1.00559626805441	0.599999999999994	150.745040627953	0.600000000000009	1.00530455061306	0.600000000000009	171.783835867245	0.600000000000009	0.997391468745633	0.600000000000009	144.517780427122	0.599999999999994	1.01592241631186	0.599999999999994	189.098132068466	0.600000000000009	1.00044345146582	0.600000000000009	157.026365741331	0.600000000000009	1.00746998120981	0.600000000000009	180.67858491122	0.599999999999994	0.998190051855319	0.599999999999994	153.940241034434	0.599999999999994	1.02045149713012	0.599999999999994	182.819449037197	
0.699999999999996	1.38644688673332	0.699999999999996	378.92436466791	0.699999999999996	1.17512013983791	0.699999999999996	171.748438333452	0.700000000000003	1.16826445691529	0.700000000000003	275.006741503603	0.699999999999989	1.16971617581494	0.699999999999989	174.919973687793	0.700000000000003	1.17182360476865	0.700000000000003	172.234999809006	0.699999999999989	1.16928273945786	0.699999999999989	163.473159773275	0.700000000000003	1.16767716194864	0.700000000000003	164.40680155938	0.700000000000003	1.16884273156115	0.700000000000003	168.661554198479	0.699999999999996	1.17064602346749	0.699999999999996	177.033202817256	0.699999999999989	1.1947313322052	0.699999999999989	155.165712385496	0.700000000000003	1.17493068025408	0.700000000000003	164.132975442044	0.700000000000003	1.17364078647218	0.700000000000003	187.57534235192	0.700000000000003	1.16547973401811	0.700000000000003	163.5268336031	0.700000000000003	1.18493588254831	0.700000000000003	207.104308174166	0.700000000000003	1.16961372491114	0.700000000000003	175.408854374837	0.700000000000003	1.17594018257442	0.700000000000003	199.726655409904	0.699999999999989	1.16695541406407	0.699999999999989	172.199615917634	0.700000000000003	1.18882517564692	0.700000000000003	197.482690964535	
0.799999999999997	1.55266256801276	0.799999999999997	394.571425204049	0.799999999999997	1.34446364159984	0.799999999999997	187.477735380525	0.799999999999997	1.34240732350849	0.799999999999997	303.928750327031	0.799999999999997	1.33878165452225	0.799999999999997	189.574820979032	0.800000000000011	1.34103799816306	0.800000000000011	189.540492101514	0.799999999999997	1.33975952888358	0.799999999999997	178.009991032013	0.799999999999997	1.33664678312166	0.799999999999997	179.896392182855	0.799999999999997	1.33901302885807	0.799999999999997	185.342278200551	0.800000000000004	1.33912810457841	0.800000000000004	193.750970538531	0.799999999999997	1.36172907876326	0.799999999999997	170.596103998833	0.799999999999997	1.34267920751219	0.799999999999997	176.627313521749	0.800000000000011	1.34314884128147	0.800000000000011	202.291721507208	0.800000000000011	1.33447177707178	0.800000000000011	181.511791197408	0.799999999999997	1.35360499650386	0.799999999999997	223.455581362941	0.800000000000011	1.33727446512665	0.800000000000011	192.759971469059	0.800000000000011	1.34298568502288	0.800000000000011	218.072987081541	0.799999999999997	1.33617890327805	0.799999999999997	189.018296623544	0.799999999999997	1.35641136698733	0.799999999999997	211.242436307657	
0.899999999999999	1.72134288141263	0.899999999999999	408.954902013648	0.899999999999999	1.51156147767992	0.899999999999999	201.955404008913	0.899999999999999	1.5123192926027	0.899999999999999	326.438271258666	0.899999999999991	1.50579338139545	0.899999999999991	203.721456273342	0.900000000000006	1.50784802444405	0.900000000000006	206.201648325077	0.899999999999991	1.50559617499501	0.899999999999991	191.515650840302	0.899999999999999	1.50392550531775	0.899999999999999	194.317158275226	0.899999999999999	1.50523213769541	0.899999999999999	200.751228476293	0.899999999999999	1.50693404786974	0.899999999999999	209.297313631396	0.899999999999991	1.53022845948099	0.899999999999991	184.893137884501	0.899999999999991	1.50976823939305	0.899999999999991	188.804224308115	0.900000000000006	1.50943587234315	0.900000000000006	216.124044527532	0.900000000000006	1.50201010250932	0.900000000000006	198.691100194992	0.900000000000006	1.51982258466616	0.900000000000006	238.855272982619	0.900000000000006	1.50612134817816	0.900000000000006	208.635460694495	0.900000000000006	1.51179479916281	0.900000000000006	235.857269217376	0.899999999999991	1.50378361745919	0.899999999999991	204.32339169929	0.900000000000006	1.5245033074913	0.900000000000006	223.846536755445	
