   displacement,          force
     -0.0101975,   -328.2961955
     -0.0203950,   -656.5923910
     -0.0305925,   -984.8885866
     -0.0407900,  -1313.1847821
     -0.0509875,  -1641.4839280
     -0.0611850,  -1969.0767089
     -0.0713825,  -2289.0322485
     -0.0815800,  -2588.6922911
     -0.0917775,  -2855.2881008
     -0.1019750,  -3090.8738794
     -0.1121725,  -3298.7073276
     -0.1223700,  -3479.5054262
     -0.1325675,  -3632.2839667
     -0.1427650,  -3761.2539408
     -0.1529625,  -3865.7834936
     -0.1631600,  -3944.1897791
     -0.1733575,  -4002.0542092
     -0.1835550,  -4034.6836157
     -0.1937525,  -4049.2766054
     -0.2039500,  -4046.5800104
     -0.2141475,  -4029.7061018
     -0.2243450,  -4000.8320751
     -0.2345425,  -3964.4182214
