   displacement,          force
     -0.0152960,   -907.9114233
     -0.0305920,  -1815.8228466
     -0.0458880,  -2723.7342699
     -0.0611840,  -3631.6456932
     -0.0764800,  -4539.5529998
     -0.0917760,  -5447.4060240
     -0.1070720,  -6353.9415292
     -0.1223680,  -7255.9719784
     -0.1376640,  -8144.2587660
     -0.1529600,  -9000.7347681
     -0.1682560,  -9803.1261010
     -0.1835520, -10527.7225511
     -0.1988480, -11158.3555081
     -0.2141440, -11703.9355377
     -0.2294400, -12180.1446059
     -0.2447360, -12598.4986867
     -0.2600320, -12966.5590339
     -0.2753280, -13288.5893239
     -0.2906240, -13567.8195196
     -0.3059200, -13807.8553978
     -0.3212160, -14014.1396506
     -0.3365120, -14184.6458706
     -0.3518080, -14313.1681630
     -0.3671040, -14415.5913297
     -0.3824000, -14473.6945595
     -0.3976960, -14502.9116588
     -0.4129920, -14496.9951308
     -0.4282880, -14457.8472623
     -0.4435840, -14386.6360851
     -0.4588800, -14283.8929153
     -0.4741760, -14150.2402455
