"File Path: C:\Users\Administrator\Desktop\BME_labs\2026\Group 1\G1_Sample_2 26-02-2026 17 11 25\DAQ- Time, … - (Timed).csv   
Test: Solution
Test Run: G1_Sample_2
Date: 26/02/2026 17:04:07

"
"cycle_nb","Time ","Axial Force ","Axial Displacement "
"cycle_nb","sec","N","mm"
"1","6.4482421875","-68.6338806152344","-0.0470039231004193"
"1","6.4580078125","-68.3805541992188","-0.0476673230878077"
"1","6.4677734375","-69.5684127807617","-0.0481331335322466"
"1","6.4775390625","-70.6045684814453","-0.0482556206407025"
"1","6.4873046875","-71.2336578369141","-0.0482529394503217"
"1","6.4970703125","-71.8791351318359","-0.0487715005874634"
"1","6.5068359375","-71.7619400024414","-0.0485900054627564"
"1","6.5166015625","-72.1061325073242","-0.0493696315970737"
"1","6.5263671875","-73.0073852539063","-0.0501492613693699"
"1","6.5361328125","-74.3150024414063","-0.0495162603328936"
"1","6.5458984375","-75.3726272583008","-0.0510299214511178"
"1","6.5556640625","-75.9574584960938","-0.0500392925459892"
"1","6.5654296875","-75.7812652587891","-0.0506472570123151"
"1","6.5751953125","-75.9666976928711","-0.0514680141350254"
"1","6.5849609375","-76.1716232299805","-0.0512981423526071"
"1","6.5947265625","-77.2120971679688","-0.0516512991453055"
"1","6.6044921875","-78.4493789672852","-0.0522968184668571"
"1","6.6142578125","-79.4118957519531","-0.0521787987963762"
"1","6.6240234375","-79.9511260986328","-0.0528529271832667"
"1","6.6337890625","-79.6375122070313","-0.0532409540028311"
"1","6.6435546875","-80.2357788085938","-0.0531175719515886"
"1","6.6533203125","-81.018424987793","-0.0541993977094535"
"1","6.6630859375","-82.4352645874023","-0.0535905346623622"
"1","6.6728515625","-83.6329956054688","-0.0540688633918762"
"1","6.6826171875","-84.1089630126953","-0.0548377647646703"
"1","6.6923828125","-83.831916809082","-0.0548592215636745"
"1","6.7021484375","-84.0431060791016","-0.0551506891497411"
"1","6.7119140625","-84.9072418212891","-0.0558176652702969"
"1","6.7216796875","-85.8835983276367","-0.0559490908926819"
"1","6.7314453125","-87.4314575195313","-0.0566482558497228"
"1","6.7412109375","-88.1196517944336","-0.0567814713576809"
"1","6.7509765625","-88.2387008666992","-0.0571069103898481"
"1","6.7607421875","-88.6942291259766","-0.0574421865167096"
"1","6.7705078125","-89.2347946166992","-0.0571373093407601"
"1","6.7802734375","-89.8480606079102","-0.0573107608943246"
"1","6.7900390625","-90.8575820922852","-0.0589290248171892"
"1","6.7998046875","-91.8409271240234","-0.0585624584346078"
"1","6.8095703125","-92.1956405639648","-0.0588172661082353"
"1","6.8193359375","-92.7679977416992","-0.0595593446632847"
"1","6.8291015625","-92.5361328125","-0.0593689073866699"
"1","6.8388671875","-92.9711608886719","-0.0594824559811968"
"1","6.8486328125","-94.4589920043945","-0.0600948915234767"
"1","6.8583984375","-95.8554153442383","-0.0605097411607858"
"1","6.8681640625","-96.2520904541016","-0.0608253467362374"
"1","6.8779296875","-96.449821472168","-0.0610354545642622"
"1","6.8876953125","-96.2701110839844","-0.0615218305028975"
"1","6.8974609375","-97.4372329711914","-0.0615593817201443"
"1","6.9072265625","-98.0459289550781","-0.0621816507191397"
"1","6.9169921875","-99.1987533569336","-0.062189697928261"
"1","6.9267578125","-100.599090576172","-0.0630363792879507"
"1","6.9365234375","-100.712860107422","-0.0622406587353908"
"1","6.9462890625","-101.084457397461","-0.0632652663625777"
"1","6.9560546875","-101.050369262695","-0.062769053329248"
"1","6.9658203125","-102.200340270996","-0.0637337579973973"
"1","6.9755859375","-103.611991882324","-0.0646001135464758"
"1","6.9853515625","-104.813842773438","-0.0638276324025355"
"1","6.9951171875","-105.27498626709","-0.0647127599222586"
"1","7.0048828125","-105.467071533203","-0.0647440538159572"
"1","7.0146484375","-105.4111328125","-0.0654280156595632"
"1","7.0244140625","-106.209396362305","-0.0657275304547511"
"1","7.0341796875","-106.704521179199","-0.0659009820083156"
"1","7.0439453125","-108.311187744141","-0.0665384504827671"
"1","7.0537109375","-109.421768188477","-0.0661879748804495"
"1","7.0634765625","-109.992515563965","-0.0668147185933776"
"1","7.0732421875","-109.826080322266","-0.0672402966301888"
"1","7.0830078125","-110.302673339844","-0.0675880874041468"
"1","7.0927734375","-110.931205749512","-0.0679314107401297"
"1","7.1025390625","-111.534759521484","-0.0680646335240453"
"1","7.1123046875","-111.523078918457","-0.0682944082655013"
"1","7.1220703125","-110.518730163574","-0.0677543866913766"
"1","7.1318359375","-109.037734985352","-0.0676497802487575"
"1","7.1416015625","-107.863426208496","-0.0674235852784477"
"1","7.1513671875","-107.55184173584","-0.0671312227495946"
"1","7.1611328125","-107.940185546875","-0.0671821835567243"
"1","7.1708984375","-107.452659606934","-0.066953303758055"
"1","7.1806640625","-106.575294494629","-0.0671249654260464"
"1","7.1904296875","-105.220359802246","-0.0667423009872437"
"1","7.2001953125","-103.389724731445","-0.0669032306177542"
"1","7.2099609375","-101.970672607422","-0.065447689848952"
"1","7.2197265625","-101.316963195801","-0.0653412935207598"
"1","7.2294921875","-101.083419799805","-0.0655737530905753"
"1","7.2392578125","-100.141212463379","-0.0653457609587349"
"1","7.2490234375","-98.1945114135742","-0.0641754304524511"
"1","7.2587890625","-96.2544708251953","-0.0637203484075144"
"1","7.2685546875","-95.0165023803711","-0.0641888400423341"
"1","7.2783203125","-93.9456329345703","-0.0634396055829711"
"1","7.2880859375","-93.9776306152344","-0.0634530151728541"
"1","7.2978515625","-93.7638320922852","-0.0633743402431719"
"1","7.3076171875","-93.4847869873047","-0.0626099135843106"
"1","7.3173828125","-91.762939453125","-0.0622317165834829"
"1","7.3271484375","-90.2650985717773","-0.0616326942690648"
"1","7.3369140625","-89.306640625","-0.0617203113506548"
"1","7.3466796875","-88.8914260864258","-0.0614476230111904"
"1","7.3564453125","-88.4691467285156","-0.0613859301665798"
"1","7.3662109375","-87.6102905273438","-0.0614413584116846"
"1","7.3759765625","-86.3308792114258","-0.0600162165937945"
"1","7.3857421875","-84.6973266601563","-0.0606966023042332"
"1","7.3955078125","-84.0208358764648","-0.061013997765258"
"1","7.4052734375","-83.547233581543","-0.0598794213146903"
"1","7.4150390625","-83.0046310424805","-0.0595781202719081"
"1","7.4248046875","-83.1564407348633","-0.0596308709646109"
"1","7.4345703125","-81.8626480102539","-0.0589844567002729"
"1","7.4443359375","-80.4520645141602","-0.0587797148909885"
"1","7.4541015625","-79.4304275512695","-0.0581878412049264"
"1","7.4638671875","-79.0295944213867","-0.0585731868341099"
"1","7.4736328125","-78.4729156494141","-0.0582110878895037"
"1","7.4833984375","-78.2089004516602","-0.0571990021853708"
"1","7.4931640625","-77.2561950683594","-0.0570273405173793"
"1","7.5029296875","-76.1493682861328","-0.0573554643779062"
"1","7.5126953125","-74.6384048461914","-0.0561940687475726"
"1","7.5224609375","-74.0335006713867","-0.0565060981898569"
"1","7.5322265625","-73.9035339355469","-0.0561252236366272"
"1","7.5419921875","-73.8435287475586","-0.0559428335691337"
"1","7.5517578125","-73.2066040039063","-0.0552588717255276"
"1","7.5615234375","-72.6898727416992","-0.055046082707122"
"1","7.5712890625","-70.9632186889648","-0.054735839512432"
"1","7.5810546875","-69.4795532226563","-0.0539794564247131"
"1","7.5908203125","-68.8764724731445","-0.0535324215888977"
"1","7.6005859375","-68.8903503417969","-0.0534832470293622"
"1","7.6103515625","-68.8982238769531","-0.0534358623553999"
"1","7.6201171875","-68.4571533203125","-0.0530782344867475"
"1","7.6298828125","-67.2476272583008","-0.0531765836058185"
"1","7.6396484375","-65.7540054321289","-0.0525221221323591"
"1","7.6494140625","-64.8733901977539","-0.0522324444318656"
"1","7.6591796875","-64.6670837402344","-0.0518766028108075"
"1","7.6689453125","-64.6566772460938","-0.0518336892127991"
"1","7.6787109375","-63.8759956359863","-0.0511193284182809"
"1","7.6884765625","-62.9852561950684","-0.0509798519487958"
"1","7.6982421875","-61.4782257080078","-0.0507178920088336"
"1","7.7080078125","-60.6914329528809","-0.0502127404615749"
"1","7.7177734375","-60.241813659668","-0.0497943146910984"
"1","7.7275390625","-60.5069618225098","-0.050085782277165"
"1","7.7373046875","-60.0551872253418","-0.0493374463985674"
"1","7.7470703125","-59.0456619262695","-0.0490853199153207"
"1","7.7568359375","-57.9029388427734","-0.0484442716697231"
"1","7.7666015625","-56.8850708007813","-0.0484836091345642"
"1","7.7763671875","-56.7750434875488","-0.047804118366912"
"1","7.7861328125","-56.7658538818359","-0.0479194532090332"
"1","7.7958984375","-56.8276252746582","-0.0478211040899623"
"1","7.8056640625","-56.2153816223145","-0.0476565946883056"
"1","7.8154296875","-54.8077011108398","-0.0459650145785417"
"1","7.8251953125","-53.5611572265625","-0.0474303960800171"
"1","7.8349609375","-53.0573654174805","-0.0466623896500096"
"1","7.8447265625","-52.8410530090332","-0.0459739567304496"
"1","7.8544921875","-52.4402847290039","-0.045579672587337"
"1","7.8642578125","-52.2220916748047","-0.0452184685855173"
"1","7.8740234375","-51.3583488464355","-0.0446784506493714"
"1","7.8837890625","-49.9001502990723","-0.0445666919404175"
"1","7.8935546875","-49.0079956054688","-0.0440624353359453"
"1","7.9033203125","-48.7754402160645","-0.0441580996266566"
"1","7.9130859375","-49.078182220459","-0.043770076445071"
"1","7.9228515625","-49.3257522583008","-0.0438702118117362"
"1","7.9326171875","-48.185131072998","-0.0434902322012931"
"1","7.9423828125","-47.2785453796387","-0.0427794439019635"
"1","7.9521484375","-46.1710166931152","-0.0428831590397749"
"1","7.9619140625","-45.6799354553223","-0.0417146075051278"
