"File Path: C:\Users\Administrator\Desktop\BME_labs\2026\Group 2\G2_Sample_B3 26-03-2026 17 07 43\DAQ- Time, … - (Timed).csv   
Test: Solution
Test Run: G2_Sample_B3
Date: 26/03/2026 17:03:33

"
"cycle_nb","Time ","Axial Force ","Axial Displacement "
"cycle_nb","sec","N","mm"
"1","113.1376953125","-56.0876007080078","-0.01956760934263"
"1","113.1474609375","-55.7479553222656","-0.0198823217942845"
"1","113.1572265625","-56.5124816894531","-0.0193154810403939"
"1","113.1669921875","-58.5075988769531","-0.020969509932911"
"1","113.1767578125","-60.1190872192383","-0.0211626283999067"
"1","113.1865234375","-60.9829139709473","-0.0214639312616782"
"1","113.1962890625","-60.8471984863281","-0.0213602179428563"
"1","113.2060546875","-61.8879890441895","-0.0218716268136632"
"1","113.2158203125","-62.1782035827637","-0.0219440462387865"
"1","113.2255859375","-63.8324089050293","-0.0220307701965794"
"1","113.2353515625","-66.2539443969727","-0.0222229955397779"
"1","113.2451171875","-68.0737457275391","-0.022957026885706"
"1","113.2548828125","-68.3910903930664","-0.0231143840210279"
"1","113.2646484375","-68.3881683349609","-0.0239682194660418"
"1","113.2744140625","-68.954719543457","-0.0240486861002864"
"1","113.2841796875","-70.199462890625","-0.0238251686823787"
"1","113.2939453125","-72.2483978271484","-0.0248140095209237"
"1","113.3037109375","-73.8101577758789","-0.0256025796261383"
"1","113.3134765625","-74.7659530639648","-0.0254228707490256"
"1","113.3232421875","-75.1817169189453","-0.0253969428740675"
"1","113.3330078125","-75.5565948486328","-0.0251492856477853"
"1","113.3427734375","-76.241584777832","-0.025938748876797"
"1","113.3525390625","-78.2388610839844","-0.0262507801380707"
"1","113.3623046875","-80.2115859985352","-0.0271189219347434"
"1","113.3720703125","-81.5119705200195","-0.027006268283003"
"1","113.3818359375","-82.6268539428711","-0.0277948383882176"
"1","113.3916015625","-82.3270645141602","-0.0272512443189044"
"1","113.4013671875","-83.0536422729492","-0.0282159453490749"
"1","113.4111328125","-84.5019454956055","-0.0286772847175598"
"1","113.4208984375","-86.4588012695313","-0.0290134557872079"
"1","113.4306640625","-88.128288269043","-0.0292316071863752"
"1","113.4404296875","-88.2782211303711","-0.0292834647552809"
"1","113.4501953125","-88.3403549194336","-0.0294461842713645"
"1","113.4599609375","-88.5331420898438","-0.029737651857431"
"1","113.4697265625","-89.6911239624023","-0.0299593812087551"
"1","113.4794921875","-91.5259552001953","-0.0305941684928257"
"1","113.4892578125","-93.2467727661133","-0.0307801383314654"
"1","113.4990234375","-94.9339904785156","-0.031231640605256"
"1","113.5087890625","-94.8600769042969","-0.0309902425215114"
"1","113.5185546875","-95.345085144043","-0.0312432639475446"
"1","113.5283203125","-96.4325256347656","-0.0324618813465349"
"1","113.5380859375","-98.0074691772461","-0.0324717148032505"
"1","113.5478515625","-100.246063232422","-0.0328230853483547"
"1","113.5576171875","-101.521644592285","-0.0326308618241455"
"1","113.5673828125","-102.15022277832","-0.0339362013619393"
"1","113.5771484375","-102.755760192871","-0.0345119842677377"
"1","113.5869140625","-103.132362365723","-0.0335320837621111"
"1","113.5966796875","-104.382041931152","-0.0338155041390564"
"1","113.6064453125","-106.176216125488","-0.0343939645972569"
"1","113.6162109375","-108.201431274414","-0.0348445755662397"
"1","113.6259765625","-106.664825439453","-0.0355947013304103"
"1","113.6357421875","-106.641784667969","-0.0355580450559501"
"1","113.6455078125","-106.14884185791","-0.0360158082912676"
"1","113.6552734375","-106.660751342773","-0.0363877406925894"
"1","113.6650390625","-108.341514587402","-0.0367355351045262"
"1","113.6748046875","-110.244766235352","-0.0366470230801497"
"1","113.6845703125","-111.277702331543","-0.0368428227375261"
"1","113.6943359375","-111.394378662109","-0.0369751469406765"
"1","113.7041015625","-110.329872131348","-0.036910772905685"
"1","113.7138671875","-107.764930725098","-0.0372335307474714"
"1","113.7236328125","-107.90641784668","-0.0376921889255755"
"1","113.7333984375","-109.110557556152","-0.0393399604945444"
"1","113.7431640625","-110.228874206543","-0.0397011644963641"
"1","113.7529296875","-111.002517700195","-0.039113758248277"
"1","113.7626953125","-110.977348327637","-0.0402420773752965"
"1","113.7724609375","-110.531341552734","-0.0398173942812718"
"1","113.7822265625","-112.463966369629","-0.0401598226744682"
"1","113.7919921875","-113.974822998047","-0.0407338156946935"
"1","113.8017578125","-116.938056945801","-0.0414893038396258"
"1","113.8115234375","-117.926391601563","-0.0411692271882202"
"1","113.8212890625","-118.231269836426","-0.0412648914789315"
"1","113.8310546875","-119.238304138184","-0.0418755407736171"
