"File Path: C:\Users\Administrator\Desktop\BME_labs\2026\Group 2\G2_Sample_2 26-03-2026 17 42 26\DAQ- Time, … - (Timed).csv   
Test: Solution
Test Run: G2_Sample_2
Date: 26/03/2026 17:34:52

"
"cycle_nb","Time ","Axial Force ","Axial Displacement "
"cycle_nb","sec","N","mm"
"1","8.1416015625","-52.3847007751465","-0.0398665652028285"
"1","8.1513671875","-52.9959945678711","-0.039351583836833"
"1","8.1611328125","-54.7460250854492","-0.0402224068238866"
"1","8.1708984375","-56.4400901794434","-0.0409725325880572"
"1","8.1806640625","-56.7834815979004","-0.040555893065175"
"1","8.1904296875","-56.5186004638672","-0.041082501411438"
"1","8.2001953125","-56.9419708251953","-0.0414562236983329"
"1","8.2099609375","-57.0878982543945","-0.0415447357227094"
"1","8.2197265625","-58.4964370727539","-0.0420150172431022"
"1","8.2294921875","-60.2846984863281","-0.0424692043452524"
"1","8.2392578125","-61.8327713012695","-0.042957366531482"
"1","8.2490234375","-61.9367752075195","-0.0432246924901847"
"1","8.2587890625","-61.2154960632324","-0.04340082523413"
"1","8.2685546875","-60.9427108764648","-0.043523312342586"
"1","8.2783203125","-62.3339805603027","-0.0438818351540249"
"1","8.2880859375","-64.8337707519531","-0.0448161372332834"
"1","8.2978515625","-66.0645980834961","-0.0452712192782201"
"1","8.3076171875","-66.6081085205078","-0.0454607616120484"
"1","8.3173828125","-66.5803909301758","-0.0448822975158691"
"1","8.3271484375","-66.933349609375","-0.0454339387943037"
"1","8.3369140625","-67.3705902099609","-0.0459060065622907"
"1","8.3466796875","-68.1958465576172","-0.045811237214366"
"1","8.3564453125","-70.221809387207","-0.0466436140413862"
"1","8.3662109375","-71.5292587280273","-0.0468394173367415"
"1","8.3759765625","-71.5049438476563","-0.047454537707381"
"1","8.3857421875","-71.292366027832","-0.0473445652460214"
"1","8.3955078125","-71.2229614257813","-0.047719178837724"
"1","8.4052734375","-72.3081512451172","-0.0479686277685687"
"1","8.4150390625","-74.8633270263672","-0.0481948263768572"
"1","8.4248046875","-76.2842178344727","-0.0490379316033795"
"1","8.4345703125","-76.6052474975586","-0.0495877866342198"
"1","8.4443359375","-76.1817321777344","-0.0501286995131522"
"1","8.4541015625","-76.5957794189453","-0.0497657056257594"
"1","8.4638671875","-77.6998596191406","-0.0507617005496286"
"1","8.4736328125","-79.3179779052734","-0.0499677662446629"
"1","8.4833984375","-80.8075485229492","-0.050214530347148"
"1","8.4931640625","-81.9609146118164","-0.0512123115186114"
"1","8.5029296875","-82.6289596557617","-0.0512534388690256"
"1","8.5126953125","-82.4289779663086","-0.0513848644914106"
"1","8.5224609375","-82.9069213867188","-0.0516262662131339"
"1","8.5322265625","-84.5317459106445","-0.0521555557497777"
"1","8.5419921875","-86.8617858886719","-0.0526732219441328"
"1","8.5517578125","-88.1539306640625","-0.0534090395376552"
"1","8.5615234375","-88.6748504638672","-0.053215026127873"
"1","8.5712890625","-89.2620620727539","-0.053549407311948"
"1","8.5810546875","-89.0716094970703","-0.0536039478902239"
"1","8.5908203125","-89.8383407592773","-0.0541278714081272"
"1","8.6005859375","-91.3818283081055","-0.0540822729817592"
"1","8.6103515625","-93.3365020751953","-0.0548654788872227"
"1","8.6201171875","-94.5217590332031","-0.0550058466615155"
"1","8.6298828125","-94.5718307495117","-0.0555056321900338"
"1","8.6396484375","-94.4564361572266","-0.0555342448933516"
"1","8.6494140625","-95.3135299682617","-0.0552445635548793"
"1","8.6591796875","-97.1753768920898","-0.0562298300792463"
"1","8.6689453125","-99.2161254882813","-0.0569424046261702"
"1","8.6787109375","-100.446647644043","-0.057054163335124"
"1","8.6884765625","-100.920249938965","-0.0572401295357849"
"1","8.6982421875","-100.650741577148","-0.0575503690924961"
"1","8.7080078125","-101.258293151855","-0.0577569007873535"
"1","8.7177734375","-103.022354125977","-0.0577452774450649"
"1","8.7275390625","-105.104583740234","-0.0581538661208469"
"1","8.7373046875","-107.245376586914","-0.0586268288316205"
"1","8.7470703125","-108.759086608887","-0.0593885779380798"
"1","8.7568359375","-108.680442810059","-0.059089063142892"
"1","8.7666015625","-108.552062988281","-0.0594896082475316"
"1","8.7763671875","-109.760223388672","-0.0602737054578029"
"1","8.7861328125","-111.86003112793","-0.0602057589276228"
"1","8.7958984375","-113.70824432373","-0.0609076014370658"
"1","8.8056640625","-114.954383850098","-0.0607520341873169"
"1","8.8154296875","-115.877143859863","-0.0617480254732072"
"1","8.8251953125","-116.161262512207","-0.0616434190305881"
"1","8.8349609375","-116.071411132813","-0.0614994787611067"
"1","8.8447265625","-118.318374633789","-0.0618079284322448"
"1","8.8544921875","-120.320449829102","-0.0628003472229466"
"1","8.8642578125","-121.852378845215","-0.0629988280707039"
"1","8.8740234375","-122.875671386719","-0.0631052243988961"
"1","8.8837890625","-122.751564025879","-0.0635030883131549"
"1","8.8935546875","-123.286827087402","-0.0634950411040336"
"1","8.9033203125","-125.159797668457","-0.0637605771771632"
"1","8.9130859375","-127.207710266113","-0.0644534811726771"
"1","8.9228515625","-128.612701416016","-0.0650954243610613"
"1","8.9326171875","-129.530181884766","-0.0648701170575805"
"1","8.9423828125","-130.394348144531","-0.0654771938570775"
"1","8.9521484375","-130.425582885742","-0.0659206489217468"
