   displacement,          force
     -0.0152960,   -738.5251375
     -0.0305920,  -1477.0502750
     -0.0458880,  -2215.5754125
     -0.0611840,  -2954.0928268
     -0.0764800,  -3692.4031118
     -0.0917760,  -4429.8578921
     -0.1070720,  -5165.0638535
     -0.1223680,  -5894.6536710
     -0.1376640,  -6607.9682705
     -0.1529600,  -7288.4896104
     -0.1682560,  -7915.8522734
     -0.1835520,  -8485.7874782
     -0.1988480,  -8979.9631988
     -0.2141440,  -9409.6569405
     -0.2294400,  -9787.3305453
     -0.2447360, -10120.9162539
     -0.2600320, -10415.9227518
     -0.2753280, -10674.6851750
     -0.2906240, -10898.8023045
     -0.3059200, -11089.7123667
     -0.3212160, -11247.8248370
     -0.3365120, -11375.4686018
     -0.3518080, -11471.5825442
     -0.3671040, -11536.9597353
     -0.3824000, -11570.8813897
     -0.3976960, -11572.8652397
     -0.4129920, -11538.0506377
     -0.4282880, -11460.7738769
     -0.4435840, -11354.6858011
     -0.4588800, -11221.8193991
