   displacement,          force
     -0.0152960,  -1689.2803788
     -0.0305920,  -3378.5607577
     -0.0458880,  -5067.8411365
     -0.0611840,  -6757.1208446
     -0.0764800,  -8446.3734793
     -0.0917760, -10135.3233239
     -0.1070720, -11824.2556174
     -0.1223680, -13511.5477975
     -0.1376640, -15194.8151288
     -0.1529600, -16866.8603431
     -0.1682560, -18511.1877548
     -0.1835520, -20091.0659098
     -0.1988480, -21511.5511027
     -0.2141440, -22740.6406498
     -0.2294400, -23769.4406606
     -0.2447360, -24643.8903407
     -0.2600320, -25407.0773594
     -0.2753280, -26085.2474676
     -0.2906240, -26693.2259702
     -0.3059200, -27240.7656306
     -0.3212160, -27735.9082689
     -0.3365120, -28183.7095315
     -0.3518080, -28587.4550653
     -0.3671040, -28949.0032348
     -0.3824000, -29269.0733086
     -0.3976960, -29547.6856673
     -0.4129920, -29784.2718768
     -0.4282880, -29977.2876425
     -0.4435840, -30123.9315653
     -0.4588800, -30219.9108196
     -0.4741760, -30260.5852839
     -0.4894720, -30240.1625212
     -0.5047680, -30156.8722182
     -0.5200640, -30010.7609069
     -0.5353600, -29803.8538773
     -0.5506560, -29543.8442701
