   displacement,          force
     -0.0152960,  -1449.0630643
     -0.0305920,  -2898.1261285
     -0.0458880,  -4347.1891928
     -0.0611840,  -5796.2522571
     -0.0764800,  -7245.2922039
     -0.0917760,  -8693.9079785
     -0.1070720, -10140.0811030
     -0.1223680, -11586.2520228
     -0.1376640, -13022.7053942
     -0.1529600, -14436.6309622
     -0.1682560, -15822.3462266
     -0.1835520, -17149.9231285
     -0.1988480, -18371.6819808
     -0.2141440, -19415.4464095
     -0.2294400, -20278.2477128
     -0.2447360, -21006.6706901
     -0.2600320, -21642.8951441
     -0.2753280, -22206.8891145
     -0.2906240, -22712.8202891
     -0.3059200, -23174.5257457
     -0.3212160, -23592.2087936
     -0.3365120, -23971.0941608
     -0.3518080, -24318.0859601
     -0.3671040, -24629.6745716
     -0.3824000, -24913.7711808
     -0.3976960, -25163.6285736
     -0.4129920, -25386.7078539
     -0.4282880, -25575.2468513
     -0.4435840, -25735.9747243
     -0.4588800, -25859.4037642
     -0.4741760, -25951.0590875
     -0.4894720, -26002.5448695
     -0.5047680, -26012.2554846
     -0.5200640, -25966.2193195
     -0.5353600, -25866.7739414
     -0.5506560, -25688.0215795
     -0.5659520, -25427.3329756
