   displacement,          force
     -0.0101975,   -433.2954564
     -0.0203950,   -866.5909129
     -0.0305925,  -1299.8863693
     -0.0407900,  -1733.1891203
     -0.0509875,  -2166.7573638
     -0.0611850,  -2599.7155890
     -0.0713825,  -3032.1389843
     -0.0815800,  -3462.5728612
     -0.0917775,  -3888.6042231
     -0.1019750,  -4306.2262451
     -0.1121725,  -4707.8001228
     -0.1223700,  -5080.5403722
     -0.1325675,  -5413.8579859
     -0.1427650,  -5697.6309747
     -0.1529625,  -5945.8672749
     -0.1631600,  -6163.2741047
     -0.1733575,  -6354.0338805
     -0.1835550,  -6523.9160006
     -0.1937525,  -6674.9675867
     -0.2039500,  -6808.3155078
     -0.2141475,  -6925.5948706
     -0.2243450,  -7028.1697031
     -0.2345425,  -7116.8097227
     -0.2447400,  -7192.1909176
     -0.2549375,  -7255.1861420
     -0.2651350,  -7305.3527743
     -0.2753325,  -7343.5439245
     -0.2855300,  -7369.7258336
     -0.2957275,  -7385.0494114
     -0.3059250,  -7387.0944556
     -0.3161225,  -7381.3136867
     -0.3263200,  -7367.3369985
     -0.3365175,  -7336.2420765
     -0.3467150,  -7298.9426719
     -0.3569125,  -7251.5770787
     -0.3671100,  -7195.7748681
