   displacement,          force
     -0.0101975,   -627.7723181
     -0.0203950,  -1255.5446363
     -0.0305925,  -1883.3169544
     -0.0407900,  -2511.0593827
     -0.0509875,  -3138.8615906
     -0.0611850,  -3766.6337210
     -0.0713825,  -4394.3124824
     -0.0815800,  -5020.1701135
     -0.0917775,  -5638.9567025
     -0.1019750,  -6238.1903226
     -0.1121725,  -6810.5653231
     -0.1223700,  -7343.2090892
     -0.1325675,  -7825.7022887
     -0.1427650,  -8246.8973827
     -0.1529625,  -8605.6080740
     -0.1631600,  -8918.4206039
     -0.1733575,  -9193.4404692
     -0.1835550,  -9437.4933667
     -0.1937525,  -9654.7398678
     -0.2039500,  -9847.4277228
     -0.2141475, -10017.4385938
     -0.2243450, -10166.5002290
     -0.2345425, -10294.9894000
     -0.2447400, -10403.8883039
     -0.2549375, -10495.0354898
     -0.2651350, -10563.5777995
     -0.2753325, -10614.9714501
     -0.2855300, -10645.2536311
     -0.2957275, -10657.4419375
     -0.3059250, -10653.1515428
     -0.3161225, -10635.0384264
     -0.3263200, -10604.4885926
     -0.3365175, -10562.9209910
     -0.3467150, -10512.2116653
     -0.3569125, -10452.4150917
     -0.3671100, -10385.3597257
