   displacement,          force
     -0.0152960,  -1529.6202197
     -0.0305920,  -3059.2404394
     -0.0458880,  -4588.8606591
     -0.0611840,  -6118.4808788
     -0.0764800,  -7648.0958183
     -0.0917760,  -9177.1950293
     -0.1070720, -10706.8051455
     -0.1223680, -12233.3793301
     -0.1376640, -13757.6368700
     -0.1529600, -15263.8751133
     -0.1682560, -16726.0787975
     -0.1835520, -18098.7007465
     -0.1988480, -19313.1360962
     -0.2141440, -20345.2332294
     -0.2294400, -21229.6042796
     -0.2447360, -22005.8321683
     -0.2600320, -22691.3854267
     -0.2753280, -23305.5928333
     -0.2906240, -23853.9823787
     -0.3059200, -24353.2519098
     -0.3212160, -24798.2873149
     -0.3365120, -25204.7551850
     -0.3518080, -25562.0272696
     -0.3671040, -25887.0437737
     -0.3824000, -26163.0860258
     -0.3976960, -26406.0812202
     -0.4129920, -26594.8884740
     -0.4282880, -26745.4946201
     -0.4435840, -26832.9724127
     -0.4588800, -26862.1412421
     -0.4741760, -26828.5336128
     -0.4894720, -26724.8024826
     -0.5047680, -26552.7419857
     -0.5200640, -26316.3457278
